Protein_ID	Probability	Type
sp|O59476|TIAS_PYRHO	0.9965773	Thermophilic
sp|O74109|RL10_PYRHO	0.9963188	Thermophilic
sp|O57921|NADE_PYRHO	0.9936039	Thermophilic
sp|O59080|PDXS_PYRHO	0.9028275	Thermophilic
sp|O58187|PURA_PYRHO	0.86252797	Thermophilic
sp|O58045|IMDH_PYRHO	0.9619749	Thermophilic
sp|O58231|GCK_PYRHO	0.9833205	Thermophilic
sp|O58456|DPHB_PYRHO	0.9723643	Thermophilic
sp|O59147|SYR_PYRHO	0.99764013	Thermophilic
sp|O58739|SYY_PYRHO	0.9826033	Thermophilic
sp|O57728|VATA_PYRHO	0.9996377	Thermophilic
sp|Q1AWQ0|DIPPS_RUBXD	0.5598426	Thermophilic
sp|Q08582|RGYR_SULAC	0.99186313	Thermophilic
sp|Q4JCJ1|CAPPA_SULAC	0.98620486	Thermophilic
sp|Q4J989|HOSA_SULAC	0.6169533	Thermophilic
sp|Q4J6H1|CIMA_SULAC	0.95987767	Thermophilic
sp|Q4JB69|CEDA_SULAC	0.9086282	Thermophilic
sp|Q4JB80|DPO4_SULAC	0.9923214	Thermophilic
sp|Q4JAQ3|LYSY_SULAC	0.9236225	Thermophilic
sp|P11386|MDH_SULAC	0.7751567	Thermophilic
sp|Q4J923|CDVA_SULAC	0.97378	Thermophilic
sp|P23112|EF2_SULAC	0.76415277	Thermophilic
sp|Q4J710|XYLF_SULAC	0.19848138	Mesophilic
sp|Q9UWN7|TBP_SULAC	0.97269386	Thermophilic
sp|P80143|UDDP_SULAC	0.8213678	Thermophilic
sp|Q97YD4|CSA1_SACS2	0.7841214	Thermophilic
sp|Q980M3|HFLX_SACS2	0.987123	Thermophilic
sp|P95989|RPOD_SACS2	0.999414	Thermophilic
sp|Q980D2|MVK_SACS2	0.9876962	Thermophilic
sp|Q97YX6|HJE_SACS2	0.9483743	Thermophilic
sp|Q97WW0|CS3HD_SACS2	0.8907764	Thermophilic
sp|Q97WW9|CMR3_SACS2	0.8607205	Thermophilic
sp|P39462|ADH_SACS2	0.8001643	Thermophilic
sp|Q97ZL0|ACYP_SACS2	0.99434674	Thermophilic
sp|P95855|DPS_SACS2	0.8833374	Thermophilic
sp|Q980V5|RL40_SACS2	0.9399663	Thermophilic
sp|Q980D9|XERA_SACS2	0.7636367	Thermophilic
sp|Q980D1|SYTE_SACS2	0.991424	Thermophilic
sp|Q980W3|RS8E_SACS2	0.96046066	Thermophilic
sp|P81552|S7C4_SACS2	0.80856943	Thermophilic
sp|Q970S6|SUA5_SULTO	0.9449438	Thermophilic
sp|Q96YD0|UDGA_SULTO	0.97291136	Thermophilic
sp|F9VND5|HJC_SULTO	0.93982786	Thermophilic
sp|Q973W5|HPCAS_SULTO	0.98710823	Thermophilic
sp|Q8R6L9|MSCS_CALS4	0.9727497	Thermophilic
sp|Q97BM8|MBD_THEVO	0.5313489	Thermophilic
sp|Q9X2H9|NFI_THEMA	0.9854311	Thermophilic
sp|Q9X1N5|WECA_THEMA	0.4308586	Mesophilic
sp|Q9WZC2|SPEE_THEMA	0.9374211	Thermophilic
sp|Q9X1K8|DAPB_THEMA	0.98012936	Thermophilic
sp|Q9X2I1|ECFT_THEMA	0.6336485	Thermophilic
sp|Q56310|CHEA_THEMA	0.9987035	Thermophilic
sp|Q9X108|BGLT_THEMA	0.99743855	Thermophilic
sp|Q9WYN9|CHEB_THEMA	0.91257143	Thermophilic
sp|Q9WYJ9|APEA_THEMA	0.89421785	Thermophilic
sp|Q9WYH8|AROF_THEMA	0.939496	Thermophilic
sp|Q9X005|CHED_THEMA	0.94897795	Thermophilic
sp|Q9X1E2|MCP4_THEMA	0.9576542	Thermophilic
sp|Q9X1P5|DEOC_THEMA	0.98374104	Thermophilic
sp|Q9WYA3|UVRC_THEMA	0.9977721	Thermophilic
sp|Q9WZP7|THIDN_THEMA	0.99670935	Thermophilic
sp|Q9WZZ1|DXR_THEMA	0.9728954	Thermophilic
sp|Q9X1G6|RIBU_THEMA	0.53568935	Thermophilic
sp|Q9WYG7|PYRF_THEMA	0.99044824	Thermophilic
sp|Q9WY76|MURD_THEMA	0.8911115	Thermophilic
sp|Q9X0M7|MCP2_THEMA	0.9256857	Thermophilic
sp|Q9X0I0|PUR8_THEMA	0.997788	Thermophilic
sp|Q9X0D3|HISZ_THEMA	0.9779789	Thermophilic
sp|Q9WYP5|IOLG_THEMA	0.97348	Thermophilic
sp|Q9X1H7|ENGB_THEMA	0.93362284	Thermophilic
sp|Q9X0Z6|HYDE_THEMA	0.97644496	Thermophilic
sp|Q9WZQ4|COMB_THEMA	0.98788524	Thermophilic
sp|Q9WZF6|ACPS_THEMA	0.96168786	Thermophilic
sp|Q9WYB1|ACKA_THEMA	0.9980861	Thermophilic
sp|Q9X287|FTHS_THEMA	0.77882046	Thermophilic
sp|Q9WYU9|SECG_THEMA	0.8386046	Thermophilic
sp|Q9X0H0|Y1081_THEMA	0.99321467	Thermophilic
sp|P38526|RS7_THEMA	0.81176186	Thermophilic
sp|Q9X0Y1|P1254_THEMA	0.9984224	Thermophilic
sp|Q9WYV0|UVRA_THEMA	0.9973254	Thermophilic
sp|Q9WZJ0|QUEH_THEMA	0.9487583	Thermophilic
sp|P45687|XYLA_THENE	0.8773106	Thermophilic
sp|Q5SMG8|MGTE_THET8	0.9934679	Thermophilic
sp|Q72IB8|PRODH_THET2	0.9992262	Thermophilic
sp|Q75UV1|NDX1_THETH	0.9897543	Thermophilic
sp|P25126|SUCC_THETH	0.99794817	Thermophilic
sp|Q5SIA8|PYRG_THET8	0.964263	Thermophilic
sp|Q72LF3|TTUA_THET2	0.9826774	Thermophilic
sp|Q5SID7|CRP_THET8	0.98471856	Thermophilic
sp|Q60019|NQO8_THET8	0.5240475	Thermophilic
sp|Q9Z9H6|RPOA_THETH	0.99638623	Thermophilic
sp|P80371|RS2_THET8	0.86284673	Thermophilic
sp|Q5SHP9|RL24_THET8	0.9891729	Thermophilic
sp|P17293|RS12_THETH	0.899531	Thermophilic
sp|Q9LCY2|RSMG_THET8	0.9931592	Thermophilic
sp|Q5SKU2|IF3_THET8	0.5933968	Thermophilic
sp|Q5SHW0|CBL_THET8	0.9900259	Thermophilic
sp|Q746F4|CAS2B_THET2	0.94545186	Thermophilic
sp|Q72G84|RL28_THET2	0.99583447	Thermophilic
sp|Q5SJC4|RUVC_THET8	0.9970384	Thermophilic
sp|Q5SLL5|PCKA_THET8	0.94964707	Thermophilic
sp|Q72H90|SOJ_THET2	0.80693984	Thermophilic
sp|Q5SK67|PYRC_THET8	0.77884847	Thermophilic
sp|Q8VUS5|LYSK_THET2	0.94291526	Thermophilic
sp|Q5SH23|LYSX_THET8	0.94925237	Thermophilic
sp|Q5SJV1|RBFA_THET8	0.99372375	Thermophilic
sp|P61498|PYRE_THET2	0.7468179	Thermophilic
sp|Q53WH9|ACDH_THET8	0.6990478	Thermophilic
sp|Q5SI28|GUAA_THET8	0.9806367	Thermophilic
sp|Q5SJC8|MURB_THET8	0.99329054	Thermophilic
sp|Q5SHX3|KTHY_THET8	0.9725733	Thermophilic
sp|Q5SI12|MQND_THET8	0.97964615	Thermophilic
sp|Q5SHZ8|BIKB_THET8	0.98334205	Thermophilic
sp|Q8RQP5|ISPF_THET8	0.052527398	Mesophilic
sp|Q53W63|LDRP_THET8	0.98568916	Thermophilic
sp|Q5SKW9|GCSH_THET8	0.88331735	Thermophilic
sp|Q53W05|CMR5_THET8	0.8279704	Thermophilic
sp|P61490|CH60_THET2	0.8903382	Thermophilic
sp|Q56416|COAE_THET8	0.99919665	Thermophilic
sp|Q5SI16|ATL_THET8	0.9890726	Thermophilic
sp|Q5SHA1|YQGF_THET8	0.9983525	Thermophilic
sp|P41255|SYK_THETH	0.9880299	Thermophilic
sp|Q5SHU9|TRUA_THET8	0.98294914	Thermophilic
sp|Q5SMH8|PURL_THET8	0.99660635	Thermophilic
sp|P80382|RS18_THETH	0.9960936	Thermophilic
sp|Q84BQ9|PRMA_THET8	0.9688723	Thermophilic
sp|P54263|SYN_THET8	0.85184383	Thermophilic
sp|Q5SM28|SYP_THET8	0.93459195	Thermophilic
sp|P36419|SYD_THETH	0.98653793	Thermophilic
sp|O87880|VATD_THET8	0.9751711	Thermophilic
sp|Q72IH5|TRMN_THET2	0.9858036	Thermophilic
sp|P62664|RS4_THET2	0.94253576	Thermophilic
sp|Q7X5K6|RNPA_THET8	0.09409416	Mesophilic
sp|Q72H00|PSP_THET2	0.7861177	Thermophilic
